Time(dd/mm/yyyy),Carbon dioxide(ppm),Temperature(°F),Relative humidity(%),Atmospheric pressure(hPa)
11/09/2023 6:48:31 PM,"596","66.8","53","987.8"
11/09/2023 6:50:31 PM,"597","67.0","53","987.8"
11/09/2023 6:52:31 PM,"599","67.0","53","987.7"
11/09/2023 6:54:31 PM,"616","67.2","53","987.8"
11/09/2023 6:56:31 PM,"610","67.3","53","987.7"
11/09/2023 6:58:31 PM,"608","67.5","53","987.7"
11/09/2023 7:00:31 PM,"605","67.5","53","987.7"
11/09/2023 7:02:31 PM,"611","67.6","53","987.7"
11/09/2023 7:04:31 PM,"629","67.6","53","987.7"
11/09/2023 7:06:31 PM,"606","67.6","52","987.7"
11/09/2023 7:08:31 PM,"610","67.3","52","987.8"
11/09/2023 7:10:31 PM,"618","67.0","52","987.7"
11/09/2023 7:12:31 PM,"598","66.9","53","987.7"
11/09/2023 7:14:31 PM,"612","66.9","53","987.7"
11/09/2023 7:16:31 PM,"603","67.0","53","987.7"
11/09/2023 7:18:31 PM,"626","67.1","53","987.7"
11/09/2023 7:20:31 PM,"616","67.2","53","987.7"
11/09/2023 7:22:31 PM,"619","67.3","53","987.7"
11/09/2023 7:24:31 PM,"615","67.4","53","987.7"
11/09/2023 7:26:31 PM,"615","67.5","53","987.8"
11/09/2023 7:28:31 PM,"618","67.6","53","987.7"
11/09/2023 7:30:31 PM,"616","67.7","53","987.7"
11/09/2023 7:32:31 PM,"617","67.7","53","987.7"
11/09/2023 7:34:31 PM,"602","67.8","53","987.7"
11/09/2023 7:36:31 PM,"619","67.9","53","987.7"
11/09/2023 7:38:31 PM,"619","68.0","53","987.7"
11/09/2023 7:40:31 PM,"614","68.0","53","987.7"
11/09/2023 7:42:31 PM,"613","68.1","53","987.7"
11/09/2023 7:44:31 PM,"626","68.2","53","987.6"
11/09/2023 7:46:31 PM,"614","68.3","53","987.6"
11/09/2023 7:48:31 PM,"632","68.3","53","987.6"
11/09/2023 7:50:31 PM,"617","68.3","53","987.5"
11/09/2023 7:52:31 PM,"611","68.4","53","987.6"
11/09/2023 7:54:31 PM,"606","68.4","53","987.5"
11/09/2023 7:56:31 PM,"612","68.1","52","987.5"
11/09/2023 7:58:31 PM,"588","67.7","52","987.5"
11/09/2023 8:00:31 PM,"599","67.5","53","987.5"
11/09/2023 8:02:31 PM,"585","67.5","53","987.5"
11/09/2023 8:04:31 PM,"581","67.5","53","987.4"
11/09/2023 8:06:31 PM,"588","67.6","53","987.4"
11/09/2023 8:08:31 PM,"599","67.6","53","987.4"
11/09/2023 8:10:31 PM,"584","67.7","53","987.3"
11/09/2023 8:12:31 PM,"595","67.8","53","987.3"
11/09/2023 8:14:31 PM,"597","67.9","53","987.3"
11/09/2023 8:16:31 PM,"594","68.0","53","987.3"
11/09/2023 8:18:31 PM,"602","68.1","53","987.3"
11/09/2023 8:20:31 PM,"597","68.2","53","987.2"
11/09/2023 8:22:31 PM,"589","68.2","53","987.3"
11/09/2023 8:24:31 PM,"602","68.3","53","987.3"
11/09/2023 8:26:31 PM,"587","68.3","53","987.3"
11/09/2023 8:28:31 PM,"602","68.5","53","987.3"
11/09/2023 8:30:31 PM,"595","68.4","53","987.4"
11/09/2023 8:32:31 PM,"602","68.5","53","987.4"
11/09/2023 8:34:31 PM,"589","68.5","53","987.4"
11/09/2023 8:36:31 PM,"595","68.5","53","987.5"
11/09/2023 8:38:31 PM,"593","68.6","53","987.4"
11/09/2023 8:40:31 PM,"599","68.6","53","987.4"
11/09/2023 8:42:31 PM,"603","68.7","53","987.4"
11/09/2023 8:44:31 PM,"601","68.7","53","987.4"
11/09/2023 8:46:31 PM,"605","68.7","53","987.5"
11/09/2023 8:48:31 PM,"596","68.5","52","987.5"
11/09/2023 8:50:31 PM,"604","68.3","52","987.6"
11/09/2023 8:52:31 PM,"613","67.9","53","987.5"
11/09/2023 8:54:31 PM,"626","67.8","53","987.4"
11/09/2023 8:56:31 PM,"619","67.8","53","987.5"
11/09/2023 8:58:31 PM,"617","67.9","53","987.5"
11/09/2023 9:00:31 PM,"620","68.0","53","987.5"
11/09/2023 9:02:31 PM,"635","68.1","53","987.5"
11/09/2023 9:04:31 PM,"615","68.2","53","987.5"
11/09/2023 9:06:31 PM,"615","68.3","53","987.5"
11/09/2023 9:08:31 PM,"611","68.3","53","987.4"
11/09/2023 9:10:31 PM,"618","68.5","53","987.4"
11/09/2023 9:12:31 PM,"630","68.5","53","987.5"
11/09/2023 9:14:31 PM,"620","68.5","53","987.4"
11/09/2023 9:16:31 PM,"636","68.5","53","987.4"
11/09/2023 9:18:31 PM,"634","68.6","53","987.4"
11/09/2023 9:20:31 PM,"629","68.6","53","987.4"
11/09/2023 9:22:31 PM,"617","68.7","53","987.4"
11/09/2023 9:24:31 PM,"625","68.7","53","987.4"
11/09/2023 9:26:31 PM,"629","68.8","53","987.4"
11/09/2023 9:28:31 PM,"622","68.8","53","987.3"
11/09/2023 9:30:31 PM,"625","68.8","53","987.2"
11/09/2023 9:32:31 PM,"618","68.9","53","987.2"
11/09/2023 9:34:31 PM,"612","68.7","52","987.2"
11/09/2023 9:36:31 PM,"597","68.4","52","987.1"
11/09/2023 9:38:31 PM,"604","68.0","53","987.2"
11/09/2023 9:40:31 PM,"604","67.9","53","987.2"
11/09/2023 9:42:31 PM,"590","67.9","53","987.2"
11/09/2023 9:44:31 PM,"590","68.0","53","987.2"
11/09/2023 9:46:31 PM,"583","68.1","53","987.3"
11/09/2023 9:48:31 PM,"612","68.2","53","987.2"
11/09/2023 9:50:31 PM,"591","68.2","53","987.3"
11/09/2023 9:52:31 PM,"587","68.4","53","987.2"
11/09/2023 9:54:31 PM,"592","68.5","53","987.3"
11/09/2023 9:56:31 PM,"586","68.5","53","987.3"
11/09/2023 9:58:31 PM,"592","68.5","53","987.2"
11/09/2023 10:00:31 PM,"579","68.6","53","987.2"
11/09/2023 10:02:32 PM,"595","68.6","53","987.2"
11/09/2023 10:04:32 PM,"589","68.7","53","987.2"
11/09/2023 10:06:32 PM,"586","68.7","53","987.2"
11/09/2023 10:08:32 PM,"590","68.7","53","987.2"
11/09/2023 10:10:32 PM,"582","68.8","53","987.2"
11/09/2023 10:12:32 PM,"588","68.9","53","987.1"
11/09/2023 10:14:32 PM,"589","68.9","53","987.1"
11/09/2023 10:16:32 PM,"588","68.9","53","987.1"
11/09/2023 10:18:32 PM,"574","68.8","53","987.1"
11/09/2023 10:20:32 PM,"563","68.5","52","987.1"
11/09/2023 10:22:32 PM,"555","68.1","53","987.1"
11/09/2023 10:24:32 PM,"548","68.0","53","987.1"
11/09/2023 10:26:32 PM,"554","67.9","53","987.1"
11/09/2023 10:28:32 PM,"551","68.0","53","987.1"
11/09/2023 10:30:32 PM,"559","68.1","53","987.1"
11/09/2023 10:32:32 PM,"546","68.2","53","987.2"
11/09/2023 10:34:32 PM,"543","68.3","54","987.1"
11/09/2023 10:36:32 PM,"543","68.4","54","987.1"
11/09/2023 10:38:32 PM,"554","68.5","54","987.1"
11/09/2023 10:40:32 PM,"551","68.5","54","987.1"
11/09/2023 10:42:32 PM,"559","68.5","54","987.1"
11/09/2023 10:44:32 PM,"550","68.6","54","987.1"
11/09/2023 10:46:32 PM,"545","68.6","54","987.1"
11/09/2023 10:48:32 PM,"542","68.6","54","987.1"
11/09/2023 10:50:32 PM,"570","68.7","54","987.1"
11/09/2023 10:52:32 PM,"555","68.8","54","987.2"
11/09/2023 10:54:32 PM,"546","68.8","54","987.2"
11/09/2023 10:56:32 PM,"548","68.8","54","987.1"
11/09/2023 10:58:32 PM,"549","68.8","54","987.1"
11/09/2023 11:00:32 PM,"550","68.9","54","987.2"
11/09/2023 11:02:32 PM,"527","68.7","53","987.2"
11/09/2023 11:04:32 PM,"530","68.4","52","987.2"
11/09/2023 11:06:32 PM,"532","67.9","53","987.2"
11/09/2023 11:08:32 PM,"531","67.8","53","987.1"
11/09/2023 11:10:32 PM,"527","67.8","53","987.1"
11/09/2023 11:12:32 PM,"528","67.9","54","987.2"
11/09/2023 11:14:32 PM,"530","68.0","54","987.2"
11/09/2023 11:16:32 PM,"534","68.1","54","987.1"
11/09/2023 11:18:32 PM,"527","68.2","54","987.1"
11/09/2023 11:20:32 PM,"528","68.3","54","987.1"
11/09/2023 11:22:32 PM,"534","68.4","54","987.1"
11/09/2023 11:24:32 PM,"529","68.4","54","987.1"
11/09/2023 11:26:32 PM,"540","68.5","54","987.2"
11/09/2023 11:28:32 PM,"525","68.5","54","987.2"
11/09/2023 11:30:32 PM,"531","68.5","54","987.1"
11/09/2023 11:32:32 PM,"525","68.6","54","986.9"
11/09/2023 11:34:32 PM,"532","68.6","54","986.9"
11/09/2023 11:36:32 PM,"524","68.7","54","987.1"
11/09/2023 11:38:32 PM,"518","68.7","54","987.1"
11/09/2023 11:40:32 PM,"532","68.7","54","987.0"
11/09/2023 11:42:32 PM,"526","68.8","54","987.0"
11/09/2023 11:44:32 PM,"542","68.8","54","986.9"
11/09/2023 11:46:32 PM,"530","68.8","54","986.8"
11/09/2023 11:48:32 PM,"530","68.8","54","986.7"
11/09/2023 11:50:32 PM,"523","68.9","54","986.8"
11/09/2023 11:52:32 PM,"528","68.8","53","986.7"
11/09/2023 11:54:32 PM,"519","68.4","52","986.7"
11/09/2023 11:56:32 PM,"512","68.0","53","986.6"
11/09/2023 11:58:32 PM,"507","67.8","53","986.7"
12/09/2023 12:00:32 AM,"529","67.8","54","986.7"
12/09/2023 12:02:32 AM,"511","67.8","54","986.7"
12/09/2023 12:04:32 AM,"522","67.9","54","986.8"
12/09/2023 12:06:32 AM,"520","68.0","54","986.8"
12/09/2023 12:08:32 AM,"523","68.1","54","986.7"
12/09/2023 12:10:32 AM,"518","68.2","54","986.8"
12/09/2023 12:12:32 AM,"527","68.3","54","986.8"
12/09/2023 12:14:32 AM,"504","68.4","54","986.7"
12/09/2023 12:16:32 AM,"528","68.4","54","986.8"
12/09/2023 12:18:32 AM,"518","68.5","54","986.7"
12/09/2023 12:20:32 AM,"517","68.5","54","986.8"
12/09/2023 12:22:32 AM,"515","68.5","54","986.7"
12/09/2023 12:24:32 AM,"507","68.6","54","986.7"
12/09/2023 12:26:32 AM,"509","68.6","54","986.7"
12/09/2023 12:28:32 AM,"515","68.6","54","986.5"
12/09/2023 12:30:32 AM,"516","68.6","54","986.5"
12/09/2023 12:32:32 AM,"516","68.7","54","986.4"
12/09/2023 12:34:32 AM,"520","68.7","54","986.4"
12/09/2023 12:36:32 AM,"524","68.7","54","986.4"
12/09/2023 12:38:32 AM,"523","68.8","54","986.4"
12/09/2023 12:40:32 AM,"516","68.8","54","986.4"
12/09/2023 12:42:32 AM,"528","68.8","54","986.3"
12/09/2023 12:44:32 AM,"497","68.7","53","986.3"
12/09/2023 12:46:32 AM,"515","68.4","53","986.3"
12/09/2023 12:48:32 AM,"513","67.9","53","986.2"
12/09/2023 12:50:32 AM,"501","67.8","54","986.2"
12/09/2023 12:52:32 AM,"518","67.7","54","986.2"
12/09/2023 12:54:32 AM,"501","67.8","54","986.2"
12/09/2023 12:56:32 AM,"498","67.8","54","986.2"
12/09/2023 12:58:32 AM,"508","68.0","54","986.1"
12/09/2023 1:00:32 AM,"501","68.1","54","986.1"
12/09/2023 1:02:32 AM,"511","68.2","54","986.1"
12/09/2023 1:04:32 AM,"509","68.2","54","986.1"
12/09/2023 1:06:32 AM,"511","68.3","54","986.1"
12/09/2023 1:08:32 AM,"500","68.4","54","986.1"
12/09/2023 1:10:32 AM,"505","68.4","54","986.2"
12/09/2023 1:12:32 AM,"515","68.4","54","986.1"
12/09/2023 1:14:32 AM,"514","68.5","54","986.1"
12/09/2023 1:16:32 AM,"517","68.5","54","986.2"
12/09/2023 1:18:32 AM,"511","68.5","54","986.1"
12/09/2023 1:20:32 AM,"501","68.6","54","986.1"
12/09/2023 1:22:32 AM,"507","68.6","54","986.1"
12/09/2023 1:24:32 AM,"503","68.6","54","986.1"
12/09/2023 1:26:32 AM,"503","68.6","54","986.1"
12/09/2023 1:28:32 AM,"511","68.7","54","986.1"
12/09/2023 1:30:32 AM,"490","68.7","54","986.0"
12/09/2023 1:32:32 AM,"508","68.8","54","986.1"
12/09/2023 1:34:32 AM,"495","68.6","54","986.1"
12/09/2023 1:36:32 AM,"504","68.3","53","986.0"
12/09/2023 1:38:32 AM,"507","67.9","53","986.0"
12/09/2023 1:40:32 AM,"515","67.7","54","985.9"
12/09/2023 1:42:32 AM,"514","67.7","54","985.9"
12/09/2023 1:44:32 AM,"498","67.7","54","985.9"
